filename,group_id,label,filepath,exists
C100P61ThinF_IMG_20150918_144104_cell_162.png,C100P61ThinF,Parasitized,/content/malaria_project/data/cell_images/cell_images/Parasitized/C100P61ThinF_IMG_20150918_144104_cell_162.png,True
C100P61ThinF_IMG_20150918_144104_cell_163.png,C100P61ThinF,Parasitized,/content/malaria_project/data/cell_images/cell_images/Parasitized/C100P61ThinF_IMG_20150918_144104_cell_163.png,True
C100P61ThinF_IMG_20150918_144104_cell_164.png,C100P61ThinF,Parasitized,/content/malaria_project/data/cell_images/cell_images/Parasitized/C100P61ThinF_IMG_20150918_144104_cell_164.png,True
C100P61ThinF_IMG_20150918_144104_cell_165.png,C100P61ThinF,Parasitized,/content/malaria_project/data/cell_images/cell_images/Parasitized/C100P61ThinF_IMG_20150918_144104_cell_165.png,True
C100P61ThinF_IMG_20150918_144104_cell_166.png,C100P61ThinF,Parasitized,/content/malaria_project/data/cell_images/cell_images/Parasitized/C100P61ThinF_IMG_20150918_144104_cell_166.png,True
C100P61ThinF_IMG_20150918_144104_cell_167.png,C100P61ThinF,Parasitized,/content/malaria_project/data/cell_images/cell_images/Parasitized/C100P61ThinF_IMG_20150918_144104_cell_167.png,True
C100P61ThinF_IMG_20150918_144104_cell_168.png,C100P61ThinF,Parasitized,/content/malaria_project/data/cell_images/cell_images/Parasitized/C100P61ThinF_IMG_20150918_144104_cell_168.png,True
C100P61ThinF_IMG_20150918_144104_cell_169.png,C100P61ThinF,Parasitized,/content/malaria_project/data/cell_images/cell_images/Parasitized/C100P61ThinF_IMG_20150918_144104_cell_169.png,True
C100P61ThinF_IMG_20150918_144104_cell_170.png,C100P61ThinF,Parasitized,/content/malaria_project/data/cell_images/cell_images/Parasitized/C100P61ThinF_IMG_20150918_144104_cell_170.png,True
C100P61ThinF_IMG_20150918_144104_cell_171.png,C100P61ThinF,Parasitized,/content/malaria_project/data/cell_images/cell_images/Parasitized/C100P61ThinF_IMG_20150918_144104_cell_171.png,True
C100P61ThinF_IMG_20150918_144348_cell_138.png,C100P61ThinF,Parasitized,/content/malaria_project/data/cell_images/cell_images/Parasitized/C100P61ThinF_IMG_20150918_144348_cell_138.png,True
C100P61ThinF_IMG_20150918_144348_cell_139.png,C100P61ThinF,Parasitized,/content/malaria_project/data/cell_images/cell_images/Parasitized/C100P61ThinF_IMG_20150918_144348_cell_139.png,True
C100P61ThinF_IMG_20150918_144348_cell_140.png,C100P61ThinF,Parasitized,/content/malaria_project/data/cell_images/cell_images/Parasitized/C100P61ThinF_IMG_20150918_144348_cell_140.png,True
C100P61ThinF_IMG_20150918_144348_cell_141.png,C100P61ThinF,Parasitized,/content/malaria_project/data/cell_images/cell_images/Parasitized/C100P61ThinF_IMG_20150918_144348_cell_141.png,True
C100P61ThinF_IMG_20150918_144348_cell_142.png,C100P61ThinF,Parasitized,/content/malaria_project/data/cell_images/cell_images/Parasitized/C100P61ThinF_IMG_20150918_144348_cell_142.png,True
C100P61ThinF_IMG_20150918_144348_cell_143.png,C100P61ThinF,Parasitized,/content/malaria_project/data/cell_images/cell_images/Parasitized/C100P61ThinF_IMG_20150918_144348_cell_143.png,True
